id,title,description,assigned_to,assigned_by,due_date,priority,status,completion_note,created_at,updated_at,completed_at
6a1b2c3d-1111-4a2b-9c1d-000000000001,Prepare sales report,Q1 performance,02d4ffe4-ad2a-4737-b0d7-0d78b07dad50,a1000000-0000-0000-0000-000000000001,2026-04-20 00:00:00+00,high,pending,,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00,
6a1b2c3d-1111-4a2b-9c1d-000000000002,Fix login bug,Auth issue,205d4001-6dc0-404e-ae08-639da263d30c,a1000000-0000-0000-0000-000000000001,2026-04-18 00:00:00+00,urgent,in_progress,,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00,
6a1b2c3d-1111-4a2b-9c1d-000000000003,Content strategy,Plan April content,e1000000-0000-0000-0000-000000000008,a1000000-0000-0000-0000-000000000001,2026-04-25 00:00:00+00,medium,pending,,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00,
6a1b2c3d-1111-4a2b-9c1d-000000000004,Social media campaign,Instagram ads,ec4d7561-6520-486b-ae55-3904e57a2bc6,a1000000-0000-0000-0000-000000000001,2026-04-22 00:00:00+00,high,pending,,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00,
6a1b2c3d-1111-4a2b-9c1d-000000000005,Email marketing,Newsletter draft,4a36882d-ad49-4571-8888-d6ef62081904,a1000000-0000-0000-0000-000000000001,2026-04-21 00:00:00+00,medium,completed,sent,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00
6a1b2c3d-1111-4a2b-9c1d-000000000006,Financial audit,Quarterly audit,e1000000-0000-0000-0000-000000000009,a1000000-0000-0000-0000-000000000001,2026-04-30 00:00:00+00,urgent,pending,,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00,
6a1b2c3d-1111-4a2b-9c1d-000000000007,Backend API,New endpoint,91a97f9e-c93b-42f0-bce9-172796794200,a1000000-0000-0000-0000-000000000001,2026-04-19 00:00:00+00,high,in_progress,,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00,
6a1b2c3d-1111-4a2b-9c1d-000000000008,DevOps setup,CI/CD pipeline,0c2ec93d-5ac4-42b8-a374-d9358457a509,a1000000-0000-0000-0000-000000000001,2026-04-28 00:00:00+00,high,pending,,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00,
6a1b2c3d-1111-4a2b-9c1d-000000000009,Testing module,Write test cases,0d985da7-bbf3-4d5b-bfe9-010a3456c41c,a1000000-0000-0000-0000-000000000001,2026-04-23 00:00:00+00,medium,pending,,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00,
6a1b2c3d-1111-4a2b-9c1d-000000000010,Feature dev,New dashboard,478a5022-70c4-4fe6-ae07-a741998add51,a1000000-0000-0000-0000-000000000001,2026-04-27 00:00:00+00,high,in_progress,,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00,
6a1b2c3d-1111-4a2b-9c1d-000000000011,Recruitment drive,Hire interns,cbc9bda3-1b7e-4171-b703-d31fcaf7e6c4,a1000000-0000-0000-0000-000000000001,2026-04-26 00:00:00+00,medium,pending,,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00,
6a1b2c3d-1111-4a2b-9c1d-000000000012,HR onboarding,New employee setup,2f15e55b-bd91-49ea-a070-b0d89bd735c3,a1000000-0000-0000-0000-000000000001,2026-04-24 00:00:00+00,low,completed,done,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00
6a1b2c3d-1111-4a2b-9c1d-000000000013,Budget planning,Next quarter budget,59bdef83-dd22-4db6-a6a4-1e8d3842078d,a1000000-0000-0000-0000-000000000001,2026-04-29 00:00:00+00,high,pending,,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00,
6a1b2c3d-1111-4a2b-9c1d-000000000014,Sales call,Client follow-up,e1000000-0000-0000-0000-000000000004,a1000000-0000-0000-0000-000000000001,2026-04-17 00:00:00+00,urgent,completed,closed deal,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00
6a1b2c3d-1111-4a2b-9c1d-000000000015,Growth analysis,Marketing metrics,b17dfb89-6aa7-4412-88ef-ca3700413ac4,a1000000-0000-0000-0000-000000000001,2026-04-21 00:00:00+00,medium,in_progress,,2026-04-15 13:26:11.437519+00,2026-04-15 13:26:11.437519+00,
bba71c8c-b952-4880-a928-db997f323a9a,red,sdsds,43e9bed3-edba-4563-acc4-108957392e48,078b8628-dcb3-4bbf-9a64-ce01557013a5,2024-03-23 00:00:00+00,medium,pending,,2026-04-18 04:56:06.802943+00,2026-04-18 04:56:06.802943+00,
bc1e39dc-9fd2-41e4-84e0-e96ae4349e99,"create a ppt  ",ppt cycle 1,1950dcfc-8839-4c50-ab2a-11a6f6c018ff,7655942d-098c-472a-a03d-bb2d96e0450d,2026-04-15 00:00:00+00,urgent,completed,done,2026-04-15 13:19:49.211654+00,2026-04-15 13:20:54.501746+00,2026-04-15 13:21:33.285273+00
