id,session_id,employee_id,overall_severity,confidence_score,detections,first_detected_at,last_updated_at,reviewed,reviewed_by,reviewed_at,review_decision,created_at
07f2a2f3-ac91-4a57-8418-6f81883c3214,558af15d-e36f-4a97-ac39-80dcfd0cd293,7655942d-098c-472a-a03d-bb2d96e0450d,CRITICAL,0.99,"{""long_idle"":{""severity"":""MEDIUM"",""last_seen"":""2026-04-18T05:00:04.133787+00:00"",""confidence"":0.7976,""timestamps"":[""2026-04-18T10:26:24.999983"",""2026-04-18T10:29:05.309369""],""occurrences"":2},""minimal_activity"":{""severity"":""HIGH"",""last_seen"":""2026-04-18T05:00:06.975576+00:00"",""confidence"":0.9092,""timestamps"":[""2026-04-18T10:29:23.511280"",""2026-04-18T10:29:53.947561""],""occurrences"":2},""suspicious_paste"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-18T05:00:01.189498+00:00"",""confidence"":0.99,""timestamps"":[""2026-04-18T10:24:46.081437"",""2026-04-18T10:24:46.577015""],""occurrences"":2}}",2026-04-18 04:54:50.034435+00,2026-04-18 05:00:06.975576+00,false,,,,2026-04-18 04:54:50.497881+00
0ddb2567-a62d-4d27-a2da-47316d92245a,1947cb4f-414c-4b94-8bf8-b7de9cf2ebf2,078b8628-dcb3-4bbf-9a64-ce01557013a5,CRITICAL,1.00,"{""rapid_paste"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-17T05:44:54.740036+00:00"",""confidence"":0.8,""timestamps"":[""2026-04-17T11:14:22.513276"",""2026-04-17T11:14:22.906427"",""2026-04-17T11:14:23.169260"",""2026-04-17T11:14:23.386429"",""2026-04-17T11:14:23.558142"",""2026-04-17T11:14:24.478267"",""2026-04-17T11:14:24.657650"",""2026-04-17T11:14:24.828446"",""2026-04-17T11:14:25.007129"",""2026-04-17T11:14:25.186202""],""occurrences"":10},""paste_heavy_work"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-17T05:44:57.359499+00:00"",""confidence"":1,""timestamps"":[""2026-04-17T11:15:08.129241""],""occurrences"":1}}",2026-04-17 05:44:19.198251+00,2026-04-17 05:44:57.359499+00,false,,,,2026-04-17 05:44:19.665595+00
1d51bca6-bfec-4970-a050-1e57921141f3,fe57bc10-fd21-5b8f-b179-8a93c2380dfb,e1000000-0000-0000-0000-000000000001,HIGH,0.78,"{""rapid_paste"":{""severity"":""HIGH"",""confidence"":0.8,""occurrences"":3},""burst_then_idle"":{""severity"":""MEDIUM"",""confidence"":0.7,""occurrences"":2}}",2026-03-09 19:35:13.182368+00,2026-03-09 23:20:00+00,true,a1000000-0000-0000-0000-000000000001,2026-03-11 07:35:13.182368+00,dismissed,2026-03-18 07:35:13.182368+00
1e1eb5c3-44fc-4aaf-90dd-1e5fb1a9ca2b,40e3f459-2ebf-423f-b275-f3e6fc5e93b1,60981727-cff3-4f24-865f-0917898bb71e,CRITICAL,0.95,"{""rapid_paste"":{""severity"":""MEDIUM"",""last_seen"":""2026-04-14T11:43:26.487159+00:00"",""confidence"":0.8,""timestamps"":[""2026-04-14T17:13:08.855434"",""2026-04-14T17:13:09.849975""],""occurrences"":2},""keyboard_sitting"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-14T11:43:25.190642+00:00"",""confidence"":0.95,""timestamps"":[""2026-04-14T17:06:43.623874"",""2026-04-14T17:06:43.654380"",""2026-04-14T17:06:51.856082"",""2026-04-14T17:06:54.004216"",""2026-04-14T17:06:58.748030"",""2026-04-14T17:06:58.959983"",""2026-04-14T17:06:59.135761""],""occurrences"":7},""suspicious_paste"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-14T12:06:54.904760+00:00"",""confidence"":0.95,""timestamps"":[""2026-04-14T17:25:03.254977""],""occurrences"":1}}",2026-04-14 11:37:12.654141+00,2026-04-14 12:06:54.90476+00,false,,,,2026-04-14 11:36:35.900444+00
1e2721ef-a5e2-4bfb-ab2f-d3d6b1b34ab1,ab585872-f305-441e-a0e4-1f10227bdf7a,7655942d-098c-472a-a03d-bb2d96e0450d,CRITICAL,1.00,"{""long_idle"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-18T04:29:20.107703+00:00"",""confidence"":1,""timestamps"":[""2026-04-18T09:59:47.923416"",""2026-04-18T09:59:48.718522""],""occurrences"":2},""minimal_activity"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-18T04:29:23.122328+00:00"",""confidence"":1,""timestamps"":[""2026-04-18T09:59:47.925469""],""occurrences"":1},""clock_in_clock_out"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-18T04:29:25.316500+00:00"",""confidence"":1,""timestamps"":[""2026-04-18T09:59:47.929851""],""occurrences"":1}}",2026-04-18 04:29:20.107703+00,2026-04-18 04:29:25.3165+00,false,,,,2026-04-18 04:29:20.59431+00
2d5868a1-ff4c-4528-8665-efa6d531adeb,012483d2-16b2-42cc-92a2-4a0841f37a1f,60981727-cff3-4f24-865f-0917898bb71e,CRITICAL,1.00,"{""long_idle"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-14T17:36:44.220829+00:00"",""confidence"":1,""timestamps"":[""2026-04-14T22:48:51.714092""],""occurrences"":1},""rapid_paste"":{""severity"":""MEDIUM"",""last_seen"":""2026-04-14T17:36:42.907872+00:00"",""confidence"":0.8,""timestamps"":[""2026-04-14T22:43:01.465540""],""occurrences"":1},""keyboard_sitting"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-14T17:36:41.586701+00:00"",""confidence"":0.95,""timestamps"":[""2026-04-14T22:37:53.661682"",""2026-04-14T22:38:07.145642"",""2026-04-14T22:43:26.308145"",""2026-04-14T22:43:41.407551""],""occurrences"":4},""suspicious_paste"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-14T17:36:40.247331+00:00"",""confidence"":0.99,""timestamps"":[""2026-04-14T22:37:20.940441"",""2026-04-14T22:37:31.260193"",""2026-04-14T22:37:34.466566"",""2026-04-14T22:37:44.425276"",""2026-04-14T22:42:58.352135"",""2026-04-14T22:43:00.757590"",""2026-04-14T22:43:01.457518"",""2026-04-14T22:43:17.627048"",""2026-04-14T23:01:45.279403""],""occurrences"":9}}",2026-04-14 17:08:17.90513+00,2026-04-14 17:36:44.220829+00,false,,,,2026-04-14 17:07:40.740193+00
42658abe-a7dc-463d-8a6c-46cda49af249,5de913ba-ed6d-5dca-b508-fdc1d6ccf4ca,e1000000-0000-0000-0000-000000000009,CRITICAL,0.83,"{""rapid_paste"":{""severity"":""HIGH"",""confidence"":0.85,""occurrences"":4},""suspicious_paste"":{""severity"":""CRITICAL"",""confidence"":0.96,""occurrences"":5}}",2026-03-05 18:35:13.182368+00,2026-03-05 23:30:00+00,true,a1000000-0000-0000-0000-000000000002,2026-03-07 07:35:13.182368+00,escalated,2026-03-18 07:35:13.182368+00
4375674f-5ca0-4b26-a9ad-93b692b82519,4b51c55d-bb0a-48b0-883a-1c927c283ce3,a1000000-0000-0000-0000-000000000001,CRITICAL,1.00,"{""long_idle"":{""severity"":""CRITICAL"",""last_seen"":""2026-03-18T16:57:01.411087+00:00"",""confidence"":1,""timestamps"":[""2026-03-18T22:14:42.575283"",""2026-03-18T22:20:05.433498"",""2026-03-18T22:26:28.958678""],""occurrences"":3},""rapid_paste"":{""severity"":""CRITICAL"",""last_seen"":""2026-03-18T16:57:03.681555+00:00"",""confidence"":0.8,""timestamps"":[""2026-03-18T22:17:50.422417"",""2026-03-18T22:17:53.881033"",""2026-03-18T22:17:54.064281"",""2026-03-18T22:17:54.256811"",""2026-03-18T22:17:54.425540"",""2026-03-18T22:17:54.602258"",""2026-03-18T22:17:54.766627"",""2026-03-18T22:17:54.939539"",""2026-03-18T22:17:55.124624"",""2026-03-18T22:17:55.296558"",""2026-03-18T22:17:55.501388"",""2026-03-18T22:17:55.652577"",""2026-03-18T22:17:56.191515"",""2026-03-18T22:17:56.387786"",""2026-03-18T22:17:56.611392"",""2026-03-18T22:17:56.770706"",""2026-03-18T22:17:56.909108""],""occurrences"":17},""burst_then_idle"":{""severity"":""LOW"",""last_seen"":""2026-03-18T16:57:08.207680+00:00"",""confidence"":0.745,""timestamps"":[""2026-03-18T22:25:10.347864""],""occurrences"":1},""keyboard_sitting"":{""severity"":""CRITICAL"",""last_seen"":""2026-03-18T16:57:06.122497+00:00"",""confidence"":1,""timestamps"":[""2026-03-18T22:17:55.473757"",""2026-03-18T22:17:55.641456"",""2026-03-18T22:17:56.178592"",""2026-03-18T22:17:56.372729"",""2026-03-18T22:17:56.578577"",""2026-03-18T22:17:56.741575"",""2026-03-18T22:17:56.895737"",""2026-03-18T22:17:58.551556"",""2026-03-18T22:17:59.044743"",""2026-03-18T22:17:59.073637"",""2026-03-18T22:17:59.103675"",""2026-03-18T22:17:59.133926"",""2026-03-18T22:17:59.435742"",""2026-03-18T22:17:59.464519"",""2026-03-18T22:17:59.494565"",""2026-03-18T22:17:59.525993"",""2026-03-18T22:17:59.555505"",""2026-03-18T22:17:59.585403"",""2026-03-18T22:17:59.615334"",""2026-03-18T22:17:59.645791"",""2026-03-18T22:17:59.675328"",""2026-03-18T22:17:59.705583"",""2026-03-18T22:17:59.735279"",""2026-03-18T22:17:59.765293"",""2026-03-18T22:17:59.795696"",""2026-03-18T22:17:59.826229"",""2026-03-18T22:17:59.856330"",""2026-03-18T22:17:59.887944"",""2026-03-18T22:17:59.916882"",""2026-03-18T22:17:59.946321"",""2026-03-18T22:17:59.977669"",""2026-03-18T22:18:00.006882"",""2026-03-18T22:18:00.037649"",""2026-03-18T22:18:00.066580"",""2026-03-18T22:18:00.097772"",""2026-03-18T22:18:00.128449"",""2026-03-18T22:18:00.157843"",""2026-03-18T22:18:00.189037"",""2026-03-18T22:18:00.218797"",""2026-03-18T22:18:00.248575"",""2026-03-18T22:18:00.279665"",""2026-03-18T22:18:00.308474"",""2026-03-18T22:18:00.339758"",""2026-03-18T22:18:00.368620"",""2026-03-18T22:18:00.399409"",""2026-03-18T22:18:00.429557"",""2026-03-18T22:18:00.459387"",""2026-03-18T22:18:00.490624"",""2026-03-18T22:18:00.520020"",""2026-03-18T22:18:00.550549"",""2026-03-18T22:18:00.580110"",""2026-03-18T22:18:00.610039"",""2026-03-18T22:18:00.640854"",""2026-03-18T22:18:00.670892"",""2026-03-18T22:18:00.700583"",""2026-03-18T22:18:00.731433"",""2026-03-18T22:18:00.761208"",""2026-03-18T22:18:00.792465"",""2026-03-18T22:18:00.822005"",""2026-03-18T22:18:00.852771"",""2026-03-18T22:18:00.883299"",""2026-03-18T22:18:00.913291"",""2026-03-18T22:18:00.942568"",""2026-03-18T22:18:00.973544"",""2026-03-18T22:18:01.003044"",""2026-03-18T22:18:01.034273"",""2026-03-18T22:18:01.063912"",""2026-03-18T22:18:01.094289"",""2026-03-18T22:18:01.123257"",""2026-03-18T22:18:01.154126"",""2026-03-18T22:18:01.185269"",""2026-03-18T22:18:01.214911"",""2026-03-18T22:18:01.246528"",""2026-03-18T22:18:01.275540"",""2026-03-18T22:18:01.306226"",""2026-03-18T22:18:01.336126"",""2026-03-18T22:18:01.366631"",""2026-03-18T22:18:01.396207"",""2026-03-18T22:18:01.427076"",""2026-03-18T22:18:01.457058"",""2026-03-18T22:18:01.487299"",""2026-03-18T22:18:01.516438"",""2026-03-18T22:18:01.546938"",""2026-03-18T22:18:01.576901"",""2026-03-18T22:18:01.607716"",""2026-03-18T22:18:01.638050"",""2026-03-18T22:18:01.667674"",""2026-03-18T22:18:01.698886"",""2026-03-18T22:18:01.727951"",""2026-03-18T22:18:01.758090"",""2026-03-18T22:18:01.788769"",""2026-03-18T22:18:01.818489"",""2026-03-18T22:18:01.848822"",""2026-03-18T22:18:01.878763"",""2026-03-18T22:18:01.909055"",""2026-03-18T22:18:01.940324"",""2026-03-18T22:18:01.969779"",""2026-03-18T22:18:02"",""2026-03-18T22:18:02.029389"",""2026-03-18T22:18:02.058853"",""2026-03-18T22:18:02.090236"",""2026-03-18T22:18:02.119663"",""2026-03-18T22:18:02.150446"",""2026-03-18T22:18:02.179739"",""2026-03-18T22:18:02.210597"",""2026-03-18T22:18:02.240519"",""2026-03-18T22:18:02.270880"",""2026-03-18T22:18:02.301098"",""2026-03-18T22:18:02.330526"",""2026-03-18T22:18:02.360355"",""2026-03-18T22:18:02.391723"",""2026-03-18T22:18:02.420335"",""2026-03-18T22:18:02.451821"",""2026-03-18T22:18:02.481881"",""2026-03-18T22:18:02.512012"",""2026-03-18T22:18:02.542804"",""2026-03-18T22:18:02.571562"",""2026-03-18T22:18:02.602887"",""2026-03-18T22:18:02.632708"",""2026-03-18T22:18:02.662010"",""2026-03-18T22:18:02.692619"",""2026-03-18T22:18:02.722330"",""2026-03-18T22:18:06.087649""],""occurrences"":123},""superhuman_speed"":{""severity"":""CRITICAL"",""last_seen"":""2026-03-18T16:56:59.347647+00:00"",""confidence"":1,""timestamps"":[""2026-03-18T21:54:09.930629"",""2026-03-18T21:54:39.956690""],""occurrences"":2},""suspicious_paste"":{""severity"":""CRITICAL"",""last_seen"":""2026-03-18T16:56:57.168713+00:00"",""confidence"":0.99,""timestamps"":[""2026-03-18T21:11:06.453484"",""2026-03-18T21:55:56.997041"",""2026-03-18T21:57:08.710467"",""2026-03-18T22:02:51.455740"",""2026-03-18T22:02:51.612051"",""2026-03-18T22:03:13.212856"",""2026-03-18T22:03:51.846827"",""2026-03-18T22:04:15.700177"",""2026-03-18T22:07:49.163134"",""2026-03-18T22:17:50.082338"",""2026-03-18T22:17:50.259930"",""2026-03-18T22:17:50.413357"",""2026-03-18T22:17:53.870372"",""2026-03-18T22:17:54.054124"",""2026-03-18T22:17:54.240192"",""2026-03-18T22:17:54.420029"",""2026-03-18T22:17:54.593149"",""2026-03-18T22:17:54.755589"",""2026-03-18T22:17:54.932558"",""2026-03-18T22:17:55.115209"",""2026-03-18T22:17:55.288547"",""2026-03-18T22:17:55.476250"",""2026-03-18T22:17:55.644005"",""2026-03-18T22:17:56.183903"",""2026-03-18T22:17:56.378765"",""2026-03-18T22:17:56.579095"",""2026-03-18T22:17:56.743081"",""2026-03-18T22:17:56.899333"",""2026-03-18T22:18:10.188906"",""2026-03-18T22:18:40.199461"",""2026-03-18T22:19:10.210641"",""2026-03-18T22:19:40.217865"",""2026-03-18T22:20:10.229768"",""2026-03-18T22:20:40.243270"",""2026-03-18T22:21:10.264765"",""2026-03-18T22:21:40.274827"",""2026-03-18T22:22:10.281598"",""2026-03-18T22:22:40.291112"",""2026-03-18T22:23:10.298603"",""2026-03-18T22:23:40.308810"",""2026-03-18T22:24:10.318867"",""2026-03-18T22:24:40.337122"",""2026-03-18T22:25:10.344669"",""2026-03-18T22:25:40.365805"",""2026-03-18T22:26:10.375124"",""2026-03-18T22:26:40.391129""],""occurrences"":46}}",2026-03-18 15:45:04.818559+00,2026-03-18 16:57:08.20768+00,true,a1000000-0000-0000-0000-000000000001,2026-03-18 16:58:10.652625+00,escalated,2026-03-18 15:44:40.589164+00
4c4357d0-e083-4294-b6e0-ad63e2be8da1,69fbf035-83ce-4c40-8173-f5c4f434ae69,91a97f9e-c93b-42f0-bce9-172796794200,HIGH,0.78,"{""rapid_paste"":{""severity"":""HIGH"",""confidence"":0.85,""occurrences"":5},""suspicious_paste"":{""severity"":""CRITICAL"",""confidence"":0.97,""occurrences"":4}}",2026-04-13 14:00:00+00,2026-04-13 16:30:00+00,false,,,,2026-04-15 14:38:52.303262+00
4df113a9-b296-471b-9feb-a4120b569ec4,e32dd7ee-eb3b-4eed-99ba-658eeef3e1d8,7655942d-098c-472a-a03d-bb2d96e0450d,CRITICAL,1.00,"{""long_idle"":{""severity"":""CRITICAL"",""last_seen"":""2026-03-19T08:46:55.957702+00:00"",""confidence"":1,""timestamps"":[""2026-03-19T12:16:25.992351"",""2026-03-19T12:20:19.315083"",""2026-03-19T12:25:28.021605"",""2026-03-19T12:37:14.226869"",""2026-03-19T12:58:10.828912""],""occurrences"":5},""rapid_paste"":{""severity"":""MEDIUM"",""last_seen"":""2026-03-19T08:46:57.297058+00:00"",""confidence"":0.8,""timestamps"":[""2026-03-19T14:11:14.261539""],""occurrences"":1},""suspicious_paste"":{""severity"":""CRITICAL"",""last_seen"":""2026-03-19T08:46:54.706194+00:00"",""confidence"":0.99,""timestamps"":[""2026-03-19T12:10:28.725427"",""2026-03-19T12:16:33.444552"",""2026-03-19T12:16:36.569819"",""2026-03-19T12:16:48.031178"",""2026-03-19T12:22:16.368300"",""2026-03-19T12:30:58.605076"",""2026-03-19T12:31:11.695185"",""2026-03-19T12:31:27.769047"",""2026-03-19T12:37:38.771547"",""2026-03-19T12:39:34.407396"",""2026-03-19T12:39:53.831632"",""2026-03-19T12:40:23.868870"",""2026-03-19T12:40:53.885416"",""2026-03-19T12:41:23.899914"",""2026-03-19T12:41:53.904925"",""2026-03-19T12:42:23.915597"",""2026-03-19T12:42:53.928280"",""2026-03-19T12:43:23.948376"",""2026-03-19T12:43:53.961796"",""2026-03-19T12:44:23.973987"",""2026-03-19T12:44:53.992743"",""2026-03-19T12:45:24.029492"",""2026-03-19T12:45:54.047450"",""2026-03-19T12:46:24.080421"",""2026-03-19T12:46:54.103505"",""2026-03-19T12:47:24.129517"",""2026-03-19T12:47:54.142453"",""2026-03-19T12:48:24.160139"",""2026-03-19T12:48:52.815924"",""2026-03-19T12:48:54.169823"",""2026-03-19T12:49:08.118457"",""2026-03-19T12:49:20.195646"",""2026-03-19T12:49:24.193890"",""2026-03-19T12:49:30.585905"",""2026-03-19T12:49:54.207189"",""2026-03-19T12:50:24.233790"",""2026-03-19T12:50:54.244506"",""2026-03-19T12:51:24.265843"",""2026-03-19T12:51:54.275832"",""2026-03-19T12:52:24.288521"",""2026-03-19T12:52:54.303332"",""2026-03-19T12:53:24.323130"",""2026-03-19T12:53:54.332411"",""2026-03-19T12:54:24.356015"",""2026-03-19T12:54:54.367466"",""2026-03-19T12:55:24.381812"",""2026-03-19T12:55:54.394930"",""2026-03-19T12:56:24.407264"",""2026-03-19T12:56:54.416263"",""2026-03-19T12:57:24.429852"",""2026-03-19T12:57:54.438986""],""occurrences"":51}}",2026-03-19 06:44:29.087021+00,2026-03-19 08:46:57.297058+00,true,7655942d-098c-472a-a03d-bb2d96e0450d,2026-04-15 18:46:33.496067+00,escalated,2026-03-19 06:44:01.036122+00
