id,session_id,employee_id,hour_of_day,activity_intensity,break_effectiveness_score,keystroke_count,mouse_movement_count,paste_count,recorded_at,created_at
2394881f-c53d-48d8-ac3b-2387ef960094,558af15d-e36f-4a97-ac39-80dcfd0cd293,7655942d-098c-472a-a03d-bb2d96e0450d,10,4.90,,5,50,2,2026-04-18 05:00:01.158723,2026-04-18 05:00:02.12101
2954b98d-7324-425a-aa25-554f441f2835,338522c7-0c75-4080-924d-45c242236239,7655942d-098c-472a-a03d-bb2d96e0450d,16,2.15,,4,92,2,2026-04-14 11:30:54.644699,2026-04-14 11:30:17.745743
32bbf9dd-8d67-45f1-8fa1-cb9122203a14,a55167f6-aad4-55b8-9988-c570ca2b48b7,e1000000-0000-0000-0000-000000000004,10,93.00,96.00,550,430,2,2026-02-18 00:35:13.182368,2026-03-18 07:35:13.182368
405ab3ef-a1c3-476c-9f32-d3704824f078,ab585872-f305-441e-a0e4-1f10227bdf7a,7655942d-098c-472a-a03d-bb2d96e0450d,9,0.00,,0,0,0,2026-04-18 04:29:29.816979,2026-04-18 04:29:30.423946
4f17109a-7d8a-40f0-9545-c1f1f22d2f40,05dc1960-999c-5ee2-a9f8-42c09f9d3861,e1000000-0000-0000-0000-000000000003,14,20.00,38.00,70,10,0,2026-02-24 04:35:13.182368,2026-03-18 07:35:13.182368
5402ebc9-370d-4e3e-8975-3e40c6e67b40,f5783da6-6e4e-407e-9650-60847a360f63,1950dcfc-8839-4c50-ab2a-11a6f6c018ff,19,46.82,,1501,1602,8,2026-04-15 14:47:37.143224,2026-04-15 14:46:58.702044
5bdaa1e4-f0d4-4055-be84-77ba572a7dea,1947cb4f-414c-4b94-8bf8-b7de9cf2ebf2,078b8628-dcb3-4bbf-9a64-ce01557013a5,11,18.27,,19,51,12,2026-04-17 05:44:54.758957,2026-04-17 05:44:55.565001
6cf9f845-0aac-41c1-a7bf-b220872c65b9,f5783da6-6e4e-407e-9650-60847a360f63,1950dcfc-8839-4c50-ab2a-11a6f6c018ff,18,20.68,,335,809,4,2026-04-15 14:47:37.143078,2026-04-15 14:46:58.702044
7144d657-575a-46c5-8af5-22d35f8d7723,4ec792a0-5def-4a45-9b48-36c1af01be31,7655942d-098c-472a-a03d-bb2d96e0450d,18,19.00,,171,449,8,2026-04-16 13:04:58.275507,2026-04-16 13:04:58.874962
724fe673-00d7-484c-988a-dc234eff9ec8,2888769e-faf6-43f7-82db-b2d767cdc1f9,7655942d-098c-472a-a03d-bb2d96e0450d,17,19.06,,114,298,3,2026-04-22 16:49:02.479464,2026-04-22 16:49:03.119881
